1;Раздел II. Расчетные коэффициенты электрических нагрузок (cosfi и Кс) по установке, процессу, цеху, предприятию в целом;;;;;;;
2;;2.1.Черная металлургия;;;;;cosfi;Кс
3;;;;;;По установке непрерывной разливки стали (УРНС) в целом;0,7;0,7
4;;;;;;Аглофабрики;;0,5 - 0,7
5;;;;;;Коксохимический завод с углемойкой без сероочистки;;0,3
6;;;;;;Доменный цех;0,77 - 0,94;0,6
7;;;;;;Мартеновский цех с котлами утилизаторами;0,74;0,3
8;;;;;;То же без котлов утилизаторов;;0,2
9;;;;;;Блюминг с нагревательными колодцами:;;
10;;;;;;Главный привод;;0,75
11;;;;;;Механизмы и краны;;0,35 - 0,4
12;;;;;;Всего по стану;;0,4 - 0,6
13;;;;;;Заготовочный стан 900;;0,6 - 0,65
14;;;;;;Трубопрокатный стан (агрегат Штифеля 130-360 мм);0,47 - 0,58;0,6
15;;;;;;Прошивной стан 250-I;;0,36
16;;;;;;Автомат-стан 250-I;;0,35
17;;;;;;Редукционный и калибровочный станы 140;;0,19
18;;;;;;Калибровочный стан и механизмы трубоотделки;;0,59
19;;;;;;Сварочные трансформаторы дуговой сварки;0,2;0,4
20;;;;;;Ламповые генераторы индукционых печей высокой частоты;;0,65
21;;;;;;Двигатель-генераторы индукционных печей высокой частоты;;0,8
22;;;;Общезаводские установки и механизмы;;;;
23;;;;;;Насосы;0,6 - 0,7;0,75 - 0,85
24;;;;;;Компрессоры;0,65;0,8
25;;;;;;Механическое станочное оборудование;0,16;0,5 - 0,6
26;;;;;;Деревообрабатывающие станки;0,55;0,75
27;;;;;;Котельная;0,6;0,75
28;;;;;;Сантехвентиляция;0,6 - 0,7;0,7 - 0,8
29;;;;;;Внутреннее освещение производственных цехов;0,85 - 0,95;0,95 - 1
30;;;;;;Внутреннее освещение вспомогательных цехов;0,9;1
31;;;Метизное производство. Сталепроволочное и железопроволочное производство;;;;;
32;;;;;;Волочильные станы;0,3 - 0,45;0,8 - 0,87
33;;;;;;Электропечи сопротивлеия для термической обработки;0,6 - 0,65;1
