1;1.1.Машиностроительная и обробатывающая промышленость;;;;;;;;
2;;;1.1.1.Тяжелое машиностроение;;;;;;
3;;;;Металлорежущие станки;;;;;
4;;;;;;Металорежащие станки мелкосерийного производства с нормальном режимом работы: мелкие токарные, строгальные, долбежные фрезерные,светлийные, карусельные точильные, ножницы листовые, сортовые, фасонные,скрапные, арматурные;0,12 - 0,14;0,4 - 0,5;
5;;;;;;То же при крупносерийном производстве;0,16;0,5;
6;;;;;;То же при тяжелом режиме работы: штампованные прессы, автоматы, револьверные, обдирочные, зубофрезерные,а так же крупные токарные, строгальные, фрезерные, карусельные и расточные станки;0,17;0,65;
7;;;;;;То же с особо тяжелым режимом работы: приводы молотов, ковочных машин, волочильных станков, очистных барабанов, бегуноа и др;0,2 - 0,24;0,65;
8;;;;;;Шлифовальные станки шарикоподшибниковых заводов;0,2 - 0,35;0,65;
9;;;;;;Автоматические поточные линии обработки металлов;0,5 - 0,6;0,7;
10;;;;;;Механические цехи, многошпиндельные автоматы для изготовлениядеталей из прутков;0,2;0,5 - 0,6;
11;;;;;;Переносной электроинструмент;0,06;0,5;
12;;;;;;Вентиляторы, эксгаустеры, санитарно-гигиеническая вентиляция;0,6 - 0,8;0,8;
13;;;;;;Насосы, компресоры, двигатель-гениратор;0,7;0,85;
14;;;;Подъемно-транспортные механизмы;;;;;
15;;;;;;Элеваторы, транспортеры,шнеки,конвееры несбалонсированные;0,4;0,75;
16;;;;;;То же сбалонсированное;0,55;0,75;
17;;;;;;Краны, телферы при ПВ - 25%;0,05;0,5;
18;;;;;;То же при ПВ - 40%;0,1;0,5;
19;;;;Сварочное оборудование;;;;;
20;;;;;;Сварочные трансформаторы для ручной дуговой сварки и резки металлов;0,3;0,35 - 0,5;
21;;;;;;Сварочные машины шовные;0,25 - 0,35;0,7;
22;;;;;;То же стыковые и точечные;0,25 - 0,36;0,6;
23;;;;;;Сварочные трансформаторы для автоматической и дуговой сварки;0,35;0,5;
24;;;;;;Однопостовые сварочные дизели-генераторы;0,3;0,6;
25;;;;;;Многопостовые сварочные дизели-генераторы;0,5;0,7;
26;;;;;;Машины для сварки трением;0,6;0,8;
27;;;;Электрические печи;;;;;
28;;;;;;Печи сопротивления с непрерывной (автоматической) загрузкой, сушильные шкафы;0,7 - 0,8;0,95;
29;;;;;;То же с периодической закрузкой;0,5;0,85;
30;;;;;;Печи сопротивления с неавтоматической загрузкой изделий;0,5;0,95;
31;;;;;;Мелкие нагревательные приборы;0,6;1;
32;;;;;;Индукционные печи низкой частоты;0,7;0,95;
33;;;;;;Двигатель-генераторы индукционных печей высокой частоты;0,7;0,8;
34;;;;;;Ламповые генераторы индукционых печей высокой частоты;0,7;0,65;
35;;;;;;Тиристорные преоброзователи установок ТВЧ;0,7;0,65;
36;;;;;;Дуговые сталеплавильные печи емкостью от 3 до 10т с автоматическим регулированием электродов для качественных сталей с механизированной загрузкой;0,75;0,9;
37;;;;;;Для качественной сталей без механизированной загрузки;0,6;0,87;
38;;;;;;Для фасонного литья с механизированной загрузкой;0,75;0,9;
39;;;;;;Для фасонного литья без механизированной загрузки;0,65;0,87;
40;;;;;;Дуговые сталеплавильные печи емкостью от 0,5 до 1,5т для фасонного литья (в подсобных цехах с автоматическим регулированием электродов);0,5;0,8;
41;;;;;;Дуговые печи цветного металла (медные сплавы) емкостью от 0,25 до 0,5т с ручным регулированием электродов;0,7;0,75;
42;;;;;;Вспомогательные механизмы дуговых печей и печей сопротивления;0,12;0,65;
43;;;;Насосы, вентиляторы, компрессоры;;;;;
44;;;;;;Насосы, компресоры, двигатель-генираторы;0,7;0,8 - 0,85;
45;;;;;;Вентиляторы, эксгаустеры, вентиляционное оборудование;0,65;0,8;
46;;;;;;Насосы, компрессоры с синхронными электродвигателями;0,7;0,9;
47;;;1.1.2.Сельскохозяйственное машиностроение;;;;;;
48;;;;;;Станки автоматических линий механических цехов;0,3;0,65;
49;;;;;;Станки автоматических линий расчитанные по циклограмме;0,4;0,65;
50;;;;;;Станки автоматический линий тяжелого режима работы расчитанные по циклограмме;0,5;0,65;
51;;;;;;Литейное оборудование: очистные барабаны, бегуны, выбивные решетки, зачистные машины, пескометы, дробеметные камеры и др;0,5;0,65;
52;;;;;;Печи сопротивления с автоматической загрузкой напряжением 380 В;0,7;1;
53;;;;;;Печи сопотивления с автоматической загрузкой с трансформаторами 380/220 В;0,7;0,85;
54;;;;;;Печи сопотивления с неавтоматической загрузкой напряжением 380 В;0,5;1;
55;;;;;;Печи сопотивления с неавтоматической загрузкой с трансформаторами 380/220 В;0,5;0,95;
56;;;;;;Нагреватели гальванических ванн;0,6;1;
57;;;;;;Выпрямители гальванических ванн;0,7;0,8;
58;;;;;;Установки автоматической дуговой сварки, комплектуемые выпрямителями;0,35;0,8;
